TÍTULO,AUTOR,GÊNERO,ANO,SINOPSE CURTA
Cemitério de Animais,Stephen King,Horror,1983,"Uma família se muda para uma casa onde um cemitério de animais índio pode ressuscitar os mortos. Quando a tragédia atinge a família, a tentação é fatal."
O Castelo de Otranto,Horace Walpole,Romance Gótico,1764,"A história de Manfred, cujo castelo é atormentado por profecias e fenômenos sobrenaturais, inaugurando o gênero gótico na literatura."
O Gato Preto e Outras Histórias,Edgar Allan Poe,Contos de Terror,1843 (Publicação do conto principal),"Coleção de contos que exploram a culpa, a loucura e o macabro, focando no horror psicológico e na perversidade humana."
O Jogo da Amarelinha,Julio Cortázar,Romance Experimental,1963,"A vida do intelectual Horacio Oliveira em Paris e Buenos Aires. O livro pode ser lido de forma linear ou seguindo uma ordem alternativa proposta pelo autor."
O Cão dos Baskervilles,Arthur Conan Doyle,Mistério Policial,1902,"Sherlock Holmes e Dr. Watson investigam uma maldição familiar e um cão fantasma que aterroriza a família Baskerville na charneca de Dartmoor."
Um Estudo em Vermelho,Arthur Conan Doyle,Mistério Policial,1887,"O primeiro romance que apresenta Sherlock Holmes e Dr. Watson, unindo-os para resolver um misterioso assassinato em Londres."
O Mundo Perdido,Arthur Conan Doyle,Ficção Científica/Aventura,1912,"Uma expedição liderada pelo Professor Challenger viaja para a América do Sul, onde descobrem um planalto isolado habitado por dinossauros."
O Retorno do Rei,J.R.R. Tolkien,Fantasia Épica,1955,"O clímax da saga, onde Aragorn reivindica seu trono e Frodo completa sua missão para destruir o Anel em Mordor."
Coração Tinta de Tinta,José Saramago,Diário,2001,"Um volume de textos onde Saramago, numa prosa poética e reflexiva, comenta o mundo, a vida e a morte em formato de diário."
Fahrenheit 451,Ray Bradbury,Distopia,1953,"O bombeiro Guy Montag é encarregado de queimar livros. Um encontro o faz questionar seu papel e buscar preservar o conhecimento."
Jane Eyre,Charlotte Brontë,Romance Gótico,1847,"A jornada de Jane Eyre, uma órfã que se torna governanta e se apaixona pelo misterioso e sombrio Sr. Rochester, em meio a segredos sombrios."
Grandes Esperanças,Charles Dickens,Romance de Formação,1861,"A história de Pip, um órfão que recebe uma herança anônima e ascende socialmente, aprendendo sobre a verdadeira moralidade e o amor."
O Morro dos Ventos Uivantes,Emily Brontë,Romance Gótico,1847,"A intensa e destrutiva paixão entre Heathcliff e Catherine Earnshaw, envolvendo vingança e obsessão nas charnecas de Yorkshire."
Contos de Fadas Completos,Irmãos Grimm,Contos de Fadas,1812 (Primeira Edição),"Coleção de narrativas folclóricas que influenciaram a cultura ocidental, como Cinderela, João e Maria e Rapunzel."
Viagens de Gulliver,Jonathan Swift,Sátira,1726,"Lemuel Gulliver viaja por terras fantásticas, como Lilipute (habitada por minúsculos) e Brobdingnag (por gigantes), satirizando a sociedade."
A Dama do Lago,Raymond Chandler,Policial Hard Boiled,1943,"O detetive particular Philip Marlowe é contratado para encontrar a esposa desaparecida de um rico empresário, mergulhando em um caso complexo e cínico."
O Falcão Maltês,Dashiell Hammett,Policial Hard Boiled,1930,"O detetive Sam Spade investiga o assassinato de seu parceiro e a busca por uma estatueta valiosa e perigosa."
O Diário de Anne Frank,Anne Frank,Não-Ficção/Diário,1947 (Póstumo),"O diário de uma adolescente judia que viveu escondida com sua família em Amsterdã durante a ocupação nazista."
A Invenção de Morel,Adolfo Bioy Casares,Ficção Científica,1940,"Um fugitivo se esconde em uma ilha onde estranhos habitantes parecem reviver os mesmos dias, revelando uma bizarra tecnologia."
Pedro Páramo,Juan Rulfo,Realismo Mágico,1955,"Juan Preciado viaja para Comala em busca de seu pai, Pedro Páramo, e descobre que a cidade é habitada apenas por fantasmas."
Perto do Coração Selvagem,Clarice Lispector,Romance Existencialista,1943,"Joana, a protagonista, explora sua interioridade, questionando sua identidade e a realidade através de uma narrativa poética e fragmentada."
Os Sertões,Euclides da Cunha,Não-Ficção/História Social,1902,"Análise sobre a Guerra de Canudos, cobrindo o homem, a terra e a luta, combinando ciência, história e literatura."
Angústia,Graciliano Ramos,Romance Psicológico,1936,"Luis da Silva, um escriturário obcecado, narra sua vida em primeira pessoa, dominado pela pobreza, inveja e solidão."
Dona Flor e Seus Dois Maridos,Jorge Amado,Romance Erótico/Comédia,1966,"Dona Flor se casa novamente após a morte de seu boêmio primeiro marido, Vadinho, que retorna à vida como um fantasma."
Cálice,Chico Buarque (Música/Poesia),Poesia,1978 (Lançamento),"Uma das canções mais emblemáticas da ditadura, com letras censuradas, que representa a resistência e a dor do período."
As Crônicas Marcianas,Ray Bradbury,
